index,title,posted,audio_path
1,The Ghostly Silence of Flannan Isles,true,audio/coldcases/audio (1).mp3
2,The Vanishing Army of Anjikuni,true,audio/coldcases/audio (2).mp3
3,The Devil’s Footprints,true,audio/coldcases/audio (3).mp3
4,The Ghost Ship of the Atlantic,true,audio/coldcases/audio (4).mp3
5,The Toxic Mystery of Gloria Ramirez,true,audio/coldcases/audio (5).mp3
6,The Man from a Country That Doesn't Exist,true,audio/coldcases/audio (6).mp3
7,The Missing Sodder Children,true,audio/coldcases/audio (7).mp3
8,The Lead Masks Case,true,audio/coldcases/audio (8).mp3
9,The Somerton Man,true,audio/coldcases/audio (9).mp3
10,The Hinterkaifeck Murders,true,audio/coldcases/audio (10).mp3
11,The Lost Colony of Roanoke,true,audio/coldcases/audio (11).mp3
12,The Devil’s Kettle,true,audio/coldcases/audio (12).mp3
13,The Silent Twins,true,audio/coldcases/audio (13).mp3
14,The Green Children of Woolpit,false,audio/coldcases/audio (14).mp3
15,The Kentucky Meat Shower,false,audio/coldcases/audio (15).mp3
16,The Curse of the Ice Man,false,audio/coldcases/audio (16).mp3
17,The Pollocks Twins,false,audio/coldcases/audio (17).mp3
18,The Man Who Killed the Echo,false,audio/coldcases/audio (18).mp3
19,The Crying Boy Curse,false,audio/coldcases/audio (19).mp3
20,The Incident at Lake Nyos,false,audio/coldcases/audio (20).mp3
21,The Immortal Count,false,audio/coldcases/audio (21).mp3
22,The Taos Hum,false,audio/coldcases/audio (22).mp3
23,The Devil’s Tree,false,audio/coldcases/audio (23).mp3
